Merkez;Ünvanı;Adı;Soyadı;Anabilim Dalı;Bilim Dalı;YÖK ID;ResearcherID (Esas);ResearcherID (ikinci);ORCID (Esas);ORCID (ikinci);Scopus AuthorID;ScopusId (ikinci);ScopusId (üçüncü);ScopusId (dördüncü);ScopusId (beşinci);Pure adı
Adana;Prof. Dr.;Betül;GÜLALP;Acil Tıp;;4A0DA8318D0565D4;;;0000-0002-2045-2771;;22950346300;;;;;
Ankara;Uzm. Dr. (Doç.);Mustafa;SEVER;Acil Tıp;;;;;0000-0003-3384-5141;;36115063700;;;;;
Konya;Uzm. Dr. (Doç.);Keziban;UÇAR KARABULUT;Acil Tıp;;;;;0000-0001-9188-0266;;36664590700;;;;;
Ankara;Dr. Öğr. Üyesi Dr.;Murat;MURATOĞLU;Acil Tıp;;13FAD3D1286DE30C;;;0000-0002-9586-7509;;56607192800;;;;;
Adana;Öğr. Gör. Dr.;Özlem;KARAGÜN;Acil Tıp;;548FC51626B04E27;U-4084-2017;;0000-0003-0681-8375;;54931425300;;;;;
Adana;Öğr. Gör. Dr.;Hasan;YEŞİLAĞAÇ;Acil Tıp;;DDB7F528C8FC1626;;;0000-0002-1365-9256;;9432754800;;;;;hasan-yesilagac
Adana;Uzm. Dr.;Erkan;DOĞAN;Acil Tıp;;;;;0000-0002-3899-494x;;;;;;;
Adana;Uzm. Dr.;Özgün;KÖSENLİ;Acil Tıp;;;;;0000-0001-6687-3320;;41861830900;;;;;
Adana;Uzm. Dr.;Veyis;TAŞIN;Acil Tıp;;;;;0000-0002-0297-0452;;56495522500;;;;;
Alanya;Uzm. Dr.;Mehmet Hüsamettin;AKKÜÇÜK;Acil Tıp;;;;;0000-0003-4569-1143;;39260977200;55596250500;;;;
Alanya;Uzm. Dr.;Tayfun Anıl;DEMİR;Acil Tıp;;;;;0000-0001-5841-2591;;57205300693;;;;;
Alanya;Uzm. Dr.;Mehmet Akif;KARADAŞ;Acil Tıp;;;;;0000-0002-4719-2535;;57205303155;;;;;
Alanya;Uzm. Dr.;Elif;KILIÇLI DOĞANAY;Acil Tıp;;;;;0000-0002-5040-0155;;56470773700;;;;;
Alanya;Uzm. Dr.;Meltem;SEVİNER;Acil Tıp;;;;;0000-0002-1670-7188;;56518326000;;;;;
Ankara;Uzm. Dr.;Ebru;BIYIKLI;Acil Tıp;;;;;;;57201380859;;;;;
Ankara;Uzm. Dr.;İrfan;KALA;Acil Tıp;;;;;0000-0001-6397-2112;;57200304393;;;;;
Ankara;Uzm. Dr.;Hayrettin Meftun;KAPTAN;Acil Tıp;;;;;0000-0001-9759-6848;;;;;;;
İstanbul;Uzm. Dr.;Ahmed;IŞIKLAR;Acil Tıp;;;;;0000-0003-4376-1179;;;;;;;
İzmir;Uzm. Dr.;Belkan;UZUN;Acil Tıp;;;;;;;57196657128;16032343200;56350566100;;;
Konya;Uzm. Dr.;Emine;DOĞAN;Acil Tıp;;;;;;;;;;;;
Ankara;Arş. Gör. Dr.;Melih;AKSOY;Acil Tıp;;69E771649F81DEBB;;;0000-0002-5010-0208;;;;;;;
Ankara;Arş. Gör. Dr.;İdd Selemani;ATHUMANI;Acil Tıp;;;;;;;;;;;;
Ankara;Arş. Gör. Dr.;Büşra;BULUT;Acil Tıp;;;;;0000-0002-9199-6696;;;;;;;
Ankara;Arş. Gör. Dr.;Saadet Nur;ÇETİNKAYA;Acil Tıp;;;;;0000-0002-6181-2032;;;;;;;
Ankara;Arş. Gör. Dr.;Amin;CHEREHSAZ;Acil Tıp;;;;;;;;;;;;
Ankara;Arş. Gör. Dr.;Yunus Emre;FELEK;Acil Tıp;;EDF72FD96ABE9564;;;0000-0001-9034-4875;;;;;;;
Ankara;Arş. Gör. Dr.;Saltuk Buğra;KARACA;Acil Tıp;;40B0271C3F6D91F0;;;0000-0002-3949-244X;;;;;;;
Ankara;Arş. Gör. Dr.;Betül Zehra;MEYVACI;Acil Tıp;;;;;0000-0001-8705-2791;;;;;;;
Ankara;Arş. Gör. Dr.;Sevil;ÖZEK;Acil Tıp;;;;;0000-0002-7245-1877;;;;;;;
Ankara;Arş. Gör. Dr.;Ceyhun;TEMEL;Acil Tıp;;;;;0000-0001-9341-8067;;;;;;;
Ankara;Arş. Gör. Dr.;Mehmet Ali;URUÇAY;Acil Tıp;;B496632833843C77;;;0000-0002-6782-1298;;;;;;;
Ankara;Arş. Gör. Dr.;Hatice İlsu;YILDIRIM;Acil Tıp;;B4C9BE53BBF3D5E2;;;0000-0001-9247-9773;;;;;;;
Ankara;Prof. Dr.;Erhan;BÜKEN;Adli Tıp;;97A4A3AE910C1049;;;0000-0002-4779-0623;;6602245512;;;;;
Ankara;Dr. Öğr. Üyesi Dr.;Zehtiye Füsun;YAŞAR;Adli Tıp;;EE4CD4FF16B3E807;;;0000-0002-4583-7678;;56692761300;;;;;
Ankara;Arş. Gör. Dr.;İlay Nur;KIRMAN;Adli Tıp;;;;;0000-0002-5142-6664;;;;;;;
Ankara;Arş. Gör. Dr.;Furkan;ŞAN;Adli Tıp;;5D002055747A797E;;;0000-0001-8081-487X;;;;;;;
Ankara;Arş. Gör. Dr.;Damla;ŞEKERCİ;Adli Tıp;;;;;0000-0002-0765-4886;;;;;;;
Adana;Prof. Dr.;Akatlı Kürşad;ÖZŞAHİN;Aile hekimliği;;B7A36E8678234C34;;;0000-0001-8844-3946;;6603492679;15036591500;;;;akatlı-kursad-ozsahin
Ankara;Prof. Dr.;Altuğ;KUT;Aile hekimliği;;59307F9CA9B0AF2B;;;0000-0003-0776-8349;;6603050379;;;;;altug-kut
Ankara;Prof. Dr.;Mehmet Ergun;ÖKSÜZ;Aile hekimliği;;55CBC0F095C32297;K-8238-2012;;0000-0002-5723-5965;;8950780800;;;;;mehmet-ergun-oksuz
Adana;Doç. Dr.;Süheyl;ASMA;Aile hekimliği;;4A5915FCA6869DA8;;;0000-0001-5335-7976;;16041468800;;;;;suheyl-asma
İstanbul;Doç. Dr.;Özlem;CİĞERLİ;Aile hekimliği;;F99F5CFFFFA116D1;;;0000-0002-7995-1380;;14520908400;;;;;ozlem-cigerli
Adana;Dr. Öğr. Üyesi Dr.;Aslı;KORUR;Aile hekimliği;;D00FABDC19AE1833;;;0000-0002-5086-5593;;56590008900;;;;;
Ankara;Dr. Öğr. Üyesi Dr.;Cihan;FİDAN;Aile hekimliği;;C06F2B8692397843;F-5830-2019;;0000-0002-9093-1524;;55058040700;;;;;
Ankara;Dr. Öğr. Üyesi Dr.;Fisun;SÖZEN;Aile hekimliği;;46C7788B7A4E50B4;;;0000-0002-1951-2693;;36129068500;;;;;
Adana;Öğr. Gör. Dr.;Ahmet Gürhan;POÇAN;Aile hekimliği;;68BFCE24FD5821D4;;;0000-0003-3128-1602;;55977595300;;;;;
Adana;Öğr. Gör. Dr.;İnci;TURAN;Aile hekimliği;;;;;0000-0002-1714-919X;;9239699500;;;;;
Ankara;Öğr. Gör. Dr.;Muzaffer Gökhan;EMİNSOY;Aile hekimliği;;F4174FA14BAFCCE7;;;0000-0002-6070-7329;;6504143810;;;;;
Konya;Öğr. Gör. Dr.;Fatma Eda;SÖZMEN;Aile hekimliği;;1E4AFD6C3B51D935;;;;;;;;;;
Adana;Uzm. Dr.;Aydan;AKSÖYEK;Aile hekimliği;;;;;0000-0002-9779-4796;;;;;;;
Adana;Uzm. Dr.;Mustafa Okan;İÇER;Aile hekimliği;;;;;0000-0003-2016-9463;;57205040456;;;;;
Adana;Uzm. Dr.;Leyla Rabia;UZ;Aile hekimliği;;;;;0000-0001-6688-8709;;;;;;;
Alanya;Uzm. Dr.;Hakan;AKDEMİR;Aile hekimliği;;;;;0000-0002-9333-1970;;;;;;;
Alanya;Uzm. Dr.;Murat;AYTUĞ;Aile hekimliği;;;;;0000-0002-7096-2980;;;;;;;
Alanya;Uzm. Dr.;Haydar;NAHMATOV;Aile hekimliği;;;;;;;;;;;;
Alanya;Uzm. Dr.;Gökhan;ÖZÇELİK;Aile hekimliği;;;;;;;;;;;;
Alanya;Uzm. Dr.;Aydın;TOKTAMIŞ;Aile hekimliği;;;;;0000-0001-8126-9228;;6507124532;;;;;
Ankara;Uzm. Dr.;Elvan;BİLİCİ AKSÖZ;Aile hekimliği;;;;;0000-0002-4408-7297;;;;;;;
Ankara;Uzm. Dr.;Funda;SALGÜR;Aile hekimliği;;;;;0000-0001-5502-7751;;35786342100;;;;;
İzmir;Uzm. Dr.;Ahmet;DOLAR;Aile hekimliği;;B09C7585281364BC;;;0000-0001-8107-4180;;;;;;;
İzmir;Uzm. Dr.;Sevda;OSMANOĞLU;Aile hekimliği;;;;;;;56365281100;;;;;
Ankara;Arş. Gör. Dr.;Mesut;AKSAY;Aile hekimliği;;;;;0000-0002-4622-8807;;;;;;;
Ankara;Arş. Gör. Dr.;Asan Najat Ali;ALI;Aile hekimliği;;;;;0000-0001-9287-9567;;;;;;;
Ankara;Arş. Gör. Dr.;Melike;ALSANCAK;Aile hekimliği;;BA5FD921FBD36063;;;0000-0002-0988-3140;;;;;;;
Ankara;Arş. Gör. Dr.;Merve;ALYAMAÇ YAŞAR;Aile hekimliği;;F424E5A9E9F89570;;;0000-0002-9319-2544;;;;;;;
Ankara;Arş. Gör. Dr.;Fatma;BACIK;Aile hekimliği;;;;;;;;;;;;
Ankara;Arş. Gör. Dr.;Büşra;BASMACI;Aile hekimliği;;09CE9204FE504C13;;;0000-0001-5569-3295;;;;;;;
Ankara;Arş. Gör. Dr.;Şeyma Berfu;BİRLİK;Aile hekimliği;;;;;0000-0001-5971-0697;;;;;;;
Ankara;Arş. Gör. Dr.;Zeynep;ÇİÇEK;Aile hekimliği;;;;;0000-0001-5382-9419;;;;;;;
Ankara;Arş. Gör. Dr.;Kaval;DAMLANUR;Aile hekimliği;;;;;0000-0002-9421-0855;;;;;;;
Ankara;Arş. Gör. Dr.;Hatice Kübra;DEMİR;Aile hekimliği;;;;;0000-0001-6190-9099;;;;;;;
